Owner,Batch Name,Sequence,Entity,Perm Val,User Tip,Contexts,Preferred CDE ID,Preferred CDE Version,Comments
Test,Test New,1,ID,1,,,,,
Test,Test New,1,ID,2,,,,,
Test,Test New,1,ID,3,,,,,
Test,Test New,1,ID,4,,,,,
Test,Test New,1,ID,5,,,,,
Test,Test New,1,ID,6,,,,,
Test,Test New,1,ID,7,,,,,
Test,Test New,1,ID,8,,,,,
Test,Test New,1,ID,9,,,,,
Test,Test New,2,Agent administered,Acetaminpohen,,,,,
Test,Test New,2,Agent administered,Busulfan,,,,,
Test,Test New,2,Agent administered,Dexamethasone,,,,,
Test,Test New,2,Agent administered,GM-CSF,,,,,
Test,Test New,2,Agent administered,Methotrexate,,,,,
Test,Test New,2,Agent administered,Test,,,,,
Test,Test New,2,Agent administered,Placebo,,,,,
Test,Test New,3,Agent administered,No,,,,,
Test,Test New,3,Agent administered,Unknown,,,,,
Test,Test New,3,Agent administered,Yes,,,,,
Test,Test New,4,Assessment Site,Celiac,,,,,
Test,Test New,4,Assessment Site,Liver,,,,,
Test,Test New,4,Assessment Site,Omentum,,,,,
Test,Test New,4,Assessment Site,Ovaries,,,,,
Test,Test New,4,Assessment Site,Para-aortic,,,,,
Test,Test New,4,Assessment Site,Peritoneal Surface,,,,,
Test,Test New,4,Assessment Site,Porta hepatitis,,,,,
Test,Test New,5,Test,Basal gnaglia,,,,,
Test,Test New,5,Test,Corpus callosum,,,,,
Test,Test New,5,Test,Test,,,,,
Test,Test New,5,Test,"Third ventricl, NOS",,,,,
Test,Test New,6,Site location,Aqueduct of sylvius,,,,,
Test,Test New,6,Site location,Basal ganglia,,,,,
Test,Test New,6,Site location,Corpus callosum,,,,,
Test,Test New,6,Site location,Other,,,,,
Test,Test New,7,Site,Aqueduct of sylvius,,,,,
Test,Test New,7,Site,Basal ganglia,,,,,
Test,Test New,7,Site,Corpus collosum,,,,,
Test,Test New,7,Site,Frontal,,,,,
Test,Test New,7,Site,Hypothalamus,,,,,
Test,Test New,7,Site,Spinal cord,,,,,
Test,Test New,7,Site,Temporal lobe,,,,,
Test,Test New,7,Site,Third ventricle,,,,,
Test,Test New,7,Site,Unknown,,,,,
Test,Test New,8,Study Site,1,,,,,
Test,Test New,8,Study Site,2,,,,,
Test,Test New,8,Study Site,3,,,,,
Test,Test New,8,Study Site,4,,,,,
Test,Test New,8,Study Site,5,,,,,
Test,Test New,8,Study Site,6,,,,,
Test,Test New,8,Study Site,7,,,,,
Test,Test New,8,Study Site,8,,,,,
Test,Test New,8,Study Site,9,,,,,
Test,Test New,9,Risk of recurrence,1,,,,,
Test,Test New,9,Risk of recurrence,2,,,,,
Test,Test New,9,Risk of recurrence,2,,,,,
Test,Test New,9,Risk of recurrence,ffff,,,,,
Test,Test New,9,Risk of recurrence,3,,,,,
Test,Test New,9,Risk of recurrence,4,,,,,
Test,Test New,10,Histology,1,,,,,
Test,Test New,10,Histology,2,,,,,
Test,Test New,11,Site,,,,,,
Test,Test New,12,New Lesions,,,,,,
Test,Test New,13,New Lesion Site,,,,,,
Test,Test New,14,AE Ongoing,,,,,,
Test,Test New,15,Has written consent been obtained,No,,,,,
Test,Test New,15,Has written consent been obtained,Yes,,,,,
Test,Test New,16,Informed Consent Version,,,,,,
Test,Test New,17,Informed Consent Version Date,,,,,,
Test,Test New,18,Consented,Agree,,,,,
Test,Test New,18,Consented,Disagree,,,,,
Test,Test New,18,Consented,Withdraw consent,,,,,
Test,Test New,19,Consented,N,,,,,
Test,Test New,19,Consented,NA,,,,,
Test,Test New,19,Consented,U,,,,,
Test,Test New,19,Consented,Y,,,,,
Test,Test New,20,Diastolic BP,,,,,,
Test,Test New,21,Blood pressure,No,,,,,
Test,Test New,21,Blood pressure,Not Applicable,,,,,
Test,Test New,21,Blood pressure,Yes,,,,,
